номер,url,заказчик,объект,Размещено,Обновлено,Окончание подачи заявок,Общая информация
№ 0816500000621008575,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816500000621008575,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",Средство гемостатическое на основе коллагена,29.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Средство гемостатическое на основе коллагена', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103163000902001000071'}"
№ 0139200000121006140,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121006140,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,Поставка перчаток медицинских,05.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка перчаток медицинских', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103393002338001000025'}"
№ 0320300149721000009,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0320300149721000009,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""УССУРИЙСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""",Поставка лекарственного препарата для медицинского применения МНН - ГЕКСОПРЕНАЛИН,28.06.2021,09.07.2021,08.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка лекарственного препарата для медицинского применения МНН - ГЕКСОПРЕНАЛИН', 'Этап закупки': 'Определение поставщика завершено', 'Закупка лекарственного препарата': 'Да', 'Сведения о связи с позицией плана-графика': '202103203001497002000077'}"
№ 0801300012821000070,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0801300012821000070,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО ЦЕНТРАЛИЗОВАННЫМ ЗАКУПКАМ"" МУНИЦИПАЛЬНОГО РАЙОНА УФИМСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН",Капитальный ремонт автоматической пожарной сигнализации в здании  МОБУ лицей с. Булгаково,02.07.2021,02.07.2021,12.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Капитальный ремонт автоматической пожарной сигнализации в здании  МОБУ лицей с. Булгаково', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103013001912001000055'}"
№ 0123200000321001564,https://zakupki.gov.ru/epz/order/notice/ok504/view/common-info.html?regNumber=0123200000321001564,УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ,"Выполнение работ по проектированию и капитальному ремонту здания МФЦ, г. Благовещенск, ул. Институтская, д.7",08.06.2021,09.07.2021,05.07.2021,{}
№ 0380200000121003493,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0380200000121003493,ГОСУДАРСТВЕННЫЙ КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ ХАКАСИЯ,"Оказание услуг по выполнению редакционно-издательских работ и издание книги ""Энциклопедия ""Хакасия"" (Хакасско-Минусинская котловина). Хозяйство региона. Том 4""",02.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Оказание услуг по выполнению редакционно-издательских работ и издание книги ""Энциклопедия ""Хакасия"" (Хакасско-Минусинская котловина). Хозяйство региона. Том 4""', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101802000044004000056'}"
№ 0380200000121003324,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0380200000121003324,ГОСУДАРСТВЕННЫЙ КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ ХАКАСИЯ,"Выполнение работ по капитальному ремонту здания Аршановской врачебной амбулатории, расположенного по адресу: Республика Хакасия, Алтайский район, с. Аршаново, ул. Ленина, 99",29.06.2021,09.07.2021,07.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Выполнение работ по капитальному ремонту здания Аршановской врачебной амбулатории, расположенного по адресу: Республика Хакасия, Алтайский район, с. Аршаново, ул. Ленина, 99', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103803000005004000625'}"
№ 0301100004421000072,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0301100004421000072,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ САНАТОРИЙ ""ГЛУХОВСКАЯ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",Поставка видеорегистраторов нагрудных с картами памяти,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка видеорегистраторов нагрудных с картами памяти', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103011000044001000187'}"
№ 0301100008521000021,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0301100008521000021,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В РЕСПУБЛИКЕ БАШКОРТОСТАН""",Питательные среды,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Питательные среды', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103011000085001000055'}"
№ 0339100009421000197,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0339100009421000197,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 42 ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ""","Товарно-материальные ресурсы медицинского назначения для оснащения филиала ""ЦМСР-1"" ФКУЗ МСЧ-42 ФСИН России",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Товарно-материальные ресурсы медицинского назначения для оснащения филиала ""ЦМСР-1"" ФКУЗ МСЧ-42 ФСИН России', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103391000094001000273'}"
№ 0816300009421000040,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0816300009421000040,,Выполнение работ по ремонту автодорог в г.Ленске,30.06.2021,08.07.2021,08.07.2021,"{'Определение поставщика (подрядчика, исполнителя) в части заключения контракта приостановлено по требованию контрольного органа\r\n                            (Жалоба №202100170547001846)': 'Перейти в реестр жалоб'}"
№ 0139200000121005539,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139200000121005539,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,Поставка перевязочных средств,21.06.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка перевязочных средств', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103395000019001000050'}"
№ 0251100003721000078,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0251100003721000078,ОТДЕЛЕНИЕ ПЕНСИОННОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ (ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ) ПО НОВОСИБИРСКОЙ ОБЛАСТИ,Поставка хозяйственных товаров,09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка хозяйственных товаров', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202102511000037001000087'}"
№ 0119200000121007945,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0119200000121007945,АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,"ЭА-№-8564/21 ""Аукцион в электронной форме на право заключения контракта на поставку медицинских изделий для травматолого-ортопедического отделения""",24.06.2021,09.07.2021,06.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП Газпромбанк', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'https://etpgpb.ru/', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'ЭА-№-8564/21 ""Аукцион в электронной форме на право заключения контракта на поставку медицинских изделий для травматолого-ортопедического отделения""', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103192000397004000784'}"
№ 0301300037821000297,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0301300037821000297,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ БАШКОРТОСТАН ГОРОДСКАЯ БОЛЬНИЦА № 2 ГОРОДА СТЕРЛИТАМАК,оказание услуги по дезинсекции в помещениях ГБУЗ РБ ГБ № 2 г. Стерлитамак,09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'Национальная электронная площадка', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.etp-ets.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'оказание услуги по дезинсекции в помещениях ГБУЗ РБ ГБ № 2 г. Стерлитамак', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103013000378001000548'}"
32110458292,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110458292,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""ЕВРОСИБЭНЕРГО"" (Заказчик)",Поставка запчастей котлов для филиалов и ДЗО ООО «Байкальская энергетическая компания» на 2022 г.,09.07.2021,09.07.2021,,{}
№ 0187300003521000401,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0187300003521000401,АДМИНИСТРАЦИЯ КОНДИНСКОГО РАЙОНА,"Выполнение работ по ремонту автомобильных дорог на ул. Северная, ул. Глинки, ул. Лесников в пгт. Междуреченский (для СМП/СОНКО)",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Выполнение работ по ремонту автомобильных дорог на ул. Северная, ул. Глинки, ул. Лесников в пгт. Междуреченский (для СМП/СОНКО)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101873000037002000034'}"
№ 0156300007821000350,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0156300007821000350,УПРАВЛЕНИЕ ЖИЛИЩНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ПЕРМИ,"ПРИОБРЕТЕНИЕ ЖИЛОГО ПОМЕЩЕНИЯ ДЛЯ ВКЛЮЧЕНИЯ В МУНИЦИПАЛЬНЫЙ СПЕЦИАЛИЗИРОВАННЫЙ ЖИЛИЩНЫЙ ФОНД В ЦЕЛЯХ ОБЕСПЕЧЕНИЯ ДЕТЕЙ-СИРОТ ЖИЛЫМИ ПОМЕЩЕНИЯМИ, В СООТВЕТСТВИИ С ЗАКОНОМ ПЕРМСКОЙ ОБЛАСТИ ОТ 29.12.2004 № 1939-419 «О МЕРАХ ПО СОЦИАЛЬНОЙ ПОДДЕРЖКИ ДЕТЕЙ-СИРОТ И ДЕТЕЙ, ОСТАВШИХСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ» (63)",09.07.2021,09.07.2021,20.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП ТЭК-Торг', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.tektorg.ru/', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'ПРИОБРЕТЕНИЕ ЖИЛОГО ПОМЕЩЕНИЯ ДЛЯ ВКЛЮЧЕНИЯ В МУНИЦИПАЛЬНЫЙ СПЕЦИАЛИЗИРОВАННЫЙ ЖИЛИЩНЫЙ ФОНД В ЦЕЛЯХ ОБЕСПЕЧЕНИЯ ДЕТЕЙ-СИРОТ ЖИЛЫМИ ПОМЕЩЕНИЯМИ, В СООТВЕТСТВИИ С ЗАКОНОМ ПЕРМСКОЙ ОБЛАСТИ ОТ 29.12.2004 № 1939-419 «О МЕРАХ ПО СОЦИАЛЬНОЙ ПОДДЕРЖКИ ДЕТЕЙ-СИРОТ И ДЕТЕЙ, ОСТАВШИХСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ» (63)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101563000078001000061'}"
№ 0301300037821000294,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0301300037821000294,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ БАШКОРТОСТАН ГОРОДСКАЯ БОЛЬНИЦА № 2 ГОРОДА СТЕРЛИТАМАК,закупка продуктов питания (смесь сухая белковая композитная),07.07.2021,07.07.2021,15.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «ЕЭТП»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://roseltorg.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'закупка продуктов питания (смесь сухая белковая композитная)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103013000378001000544'}"
№ 0843500000221002512,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0843500000221002512,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""","Поставка   компьютерного и периферийного оборудования для мастерской ""Информационные технологии"" в рамках мероприятия Государственной программы РФ ""Доступная среда"" .",09.07.2021,09.07.2021,19.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'ЭТП ТЭК-Торг', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.tektorg.ru/', 'Размещение осуществляет': 'Уполномоченное учреждение', 'Наименование объекта закупки': 'Поставка   компьютерного и периферийного оборудования для мастерской ""Информационные технологии"" в рамках мероприятия Государственной программы РФ ""Доступная среда"" .', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103432000176001000035'}"
№ 0167200003421002466,https://zakupki.gov.ru/epz/order/notice/oku504/view/common-info.html?regNumber=0167200003421002466,УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ,"Выполнение проектных и изыскательских работ по сохранению ОКНРЗ «Гостиный двор новый», г. Тобольск, ул. Базарная площадь, 11",25.05.2021,25.06.2021,18.06.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Конкурс с ограниченным участием в электронной форме', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'Национальная электронная площадка', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.etp-ets.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Выполнение проектных и изыскательских работ по сохранению ОКНРЗ «Гостиный двор новый», г. Тобольск, ул. Базарная площадь, 11', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103672000008001000231'}"
№ 0122200002521004114,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0122200002521004114,КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ,Поставка диспосистем для измерений для тромбоэластометра ROTEM Delta,28.06.2021,09.07.2021,06.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка диспосистем для измерений для тромбоэластометра ROTEM Delta', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202103222000063001000303'}"
№ 0152300011921001001,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0152300011921001001,ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК АДМИНИСТРАЦИИ ГОРОДА ОМСКА,"Приобретение в муниципальную собственность жилого помещения (квартиры) у лиц, не являющихся застройщиками, для переселения граждан из аварийного жилищного фонда (Реестровый номер 31.0969.21)",09.07.2021,09.07.2021,26.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Приобретение в муниципальную собственность жилого помещения (квартиры) у лиц, не являющихся застройщиками, для переселения граждан из аварийного жилищного фонда (Реестровый номер 31.0969.21)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202101523000087001000046'}"
№ 0822300013321000086,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0822300013321000086,ОТДЕЛ МУНИЦИПАЛЬНЫХ ЗАКУПОК АДМИНИСТРАЦИИ ВАНИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ,Оказание услуг по изготовлению сувенирной продукции,28.06.2021,09.07.2021,07.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Оказание услуг по изготовлению сувенирной продукции', 'Этап закупки': 'Определение поставщика завершено', 'Сведения о связи с позицией плана-графика': '202101223000034004000067'}"
32110246240,https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32110246240,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ"" (Заказчик)",Лот 88501-КС ПИР СМР-2021-ДРСК: Комплектные трансформаторные подстанции,,,,{}
№ 0122200002521004263,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0122200002521004263,КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ,Поставка многофункциональных устройств (МФУ),02.07.2021,02.07.2021,12.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Уполномоченный орган', 'Наименование объекта закупки': 'Поставка многофункциональных устройств (МФУ)', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103222000196001000015'}"
№ 0139100008121000010,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0139100008121000010,"МЕЖМУНИЦИПАЛЬНЫЙ ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ""ЛЕНИНСК-КУЗНЕЦКИЙ"" (РЕАЛИЗУЮЩИЙ ЗАДАЧИ И ФУНКЦИИ ОРГАНОВ ВНУТРЕННИХ ДЕЛ НА ТЕРРИТОРИИ ЛЕНИНСК-КУЗНЕЦКОГО И ПОЛЫСАЕВСКОГО ГОРОДСКИХ ОКРУГОВ)",Прочая закупка товаров (приобретение офисной бумаги),24.06.2021,09.07.2021,09.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'АО «Сбербанк-АСТ»', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.sberbank-ast.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Прочая закупка товаров (приобретение офисной бумаги)', 'Этап закупки': 'Работа комиссии', 'Сведения о связи с позицией плана-графика': '202101391000081001000072'}"
№ 0334200001621000040,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0334200001621000040,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""БРАТСКИЙ ОБЛАСТНОЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР""",Поставка отделочных материалов,09.07.2021,09.07.2021,21.07.2021,"{'Способ определения поставщика (подрядчика, исполнителя)': 'Электронный аукцион', 'Наименование электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'РТС-тендер', 'Адрес электронной площадки в информационно-телекоммуникационной сети ""Интернет""': 'http://www.rts-tender.ru', 'Размещение осуществляет': 'Заказчик', 'Наименование объекта закупки': 'Поставка отделочных материалов', 'Этап закупки': 'Подача заявок', 'Сведения о связи с позицией плана-графика': '202103342000016002000147'}"
